"DATA_YEAR","VICTIM_ID","INJURY_ID"
2019,129152062,4
2019,129152064,5
2019,129152063,5
2019,129152066,5
2019,129152068,5
2019,129152072,5
2019,129152071,5
2019,129152077,5
2019,129152088,5
2019,129152093,4
2019,129152094,5
2019,129152105,4
2019,129152111,4
2019,129152121,5
2019,129152123,2
2019,129152131,5
2019,129152130,5
2019,129152182,5
2019,129152183,5
2019,129152195,4
2019,129152201,4
2019,129152200,4
2019,129152203,5
2019,129152233,5
2019,129152238,4
2019,129152245,5
2019,129152252,5
2019,129152253,5
2019,129152271,4
2019,129152285,4
2019,129152288,4
2019,129152289,4
2019,129152291,4
2019,129152292,4
2019,129152314,5
2019,129152313,5
2019,129152320,4
2019,129152325,5
2019,129152328,4
2019,129152332,4
2019,129152339,4
2019,129152340,5
2019,129152347,6
2019,129152349,4
2019,129152358,4
2019,129152359,4
2019,129152372,1
2019,129152382,4
2019,129152386,4
2019,129152387,4
2019,129152399,4
2019,129152410,4
2019,129152412,4
2019,129152413,4
2019,129152425,5
2019,129152431,4
2019,129152442,5
2019,129152441,5
2019,129152453,5
2019,129152457,4
2019,129152465,4
2019,129152466,4
2019,129152476,4
2019,129152474,4
2019,129152475,4
2019,129152480,5
2019,129152487,5
2019,129152496,5
2019,129152508,5
2019,129152515,4
2019,129152516,4
2019,129152520,5
2019,129152521,5
2019,129152524,4
2019,129152531,4
2019,129152540,4
2019,129152545,4
2019,129152546,4
2019,129152552,5
2019,129152551,4
2019,129152561,4
2019,129152566,5
2019,129152580,4
2019,129152588,4
2019,129152587,4
2019,129152591,5
2019,129152592,5
2019,129151685,5
2019,129151720,5
2019,129151736,4
2019,129980553,4
2019,129980568,5
2019,129980567,5
2019,129973803,4
2019,129968998,5
2019,129969045,6
2019,129969045,1
2019,129969074,5
2019,129980605,4
2019,129969078,4
2019,129980615,5
2019,129980617,5
2019,129980619,5
2019,129969116,5
2019,129980621,5
2019,129968756,4
2019,129968781,5
2019,129968822,8
2019,129968822,2
2019,129968822,6
2019,129980466,4
2019,129980492,5
2019,129146930,4
2019,129151851,4
2019,129147011,6
2019,129151898,4
2019,129980408,5
2019,129980412,5
2019,129980421,5
2019,129980424,5
2019,129968792,4
2019,129980430,4
2019,129980432,4
2019,129980471,4
2019,129980474,4
2019,129968859,5
2019,129980504,5
2019,129980516,4
2019,129980539,6
2019,129980539,1
2019,129969066,5
2019,129980606,5
2019,129980612,4
2019,129980623,5
2019,129969133,5
2019,129969140,4
2019,129969141,4
2019,129980629,4
2019,129980640,5
2019,129969253,5
2019,129980663,5
2019,129973912,4
2019,129980715,5
2019,129980719,4
2019,129969406,4
2019,129969407,5
2019,129969473,5
2019,129969476,5
2019,129969474,5
2019,129969475,5
2019,129969480,4
2019,129969492,6
2019,129969493,5
2019,129969494,5
2019,129969600,5
2019,129980745,5
2019,129969656,5
2019,129973992,5
2019,129974013,5
2019,129980767,5
2019,129980772,5
2019,129980771,5
2019,129969783,5
2019,129969792,4
2019,129980779,4
2019,129974057,4
2019,129969876,4
2019,129980791,4
2019,129980820,5
2019,129980821,5
2019,129980830,6
2019,129980834,4
2019,129980842,5
2019,129974120,4
2019,129980856,4
2019,129980858,4
2019,129980879,5
2019,129980887,4
2019,129974185,4
2019,129974185,1
2019,129980899,4
2019,129980928,4
2019,129970070,5
2019,129980930,5
2019,129980936,4
2019,129980937,4
2019,129980938,5
2019,129980943,4
2019,129980944,4
2019,129980955,4
2019,129980956,5
2019,129980966,5
2019,129980970,4
2019,129980972,5
2019,129970114,5
2019,129980980,4
2019,129980982,5
2019,128361872,5
