"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2019,131714246,145522730
2019,131710715,145522736
2019,131710726,145527599
2019,131714266,145522753
2019,131710738,145527614
2019,131710740,145527620
2019,131714285,145522766
2019,131710753,145527640
2019,131710754,145527639
2019,131710754,145527638
2019,131710761,145527651
2019,131710761,145522775
2019,131710765,145522783
2019,131710765,145522784
2019,131710766,145522782
2019,131714303,145527659
2019,131714303,145527658
2019,131710772,145527666
2019,131710779,145527673
2019,131710788,145527683
2019,131710790,145527688
2019,131710790,145527687
2019,131710801,145527702
2019,131710806,145527710
2019,131710813,145522826
2019,131710813,145527717
2019,131710818,145527719
2019,131710823,145527721
2019,131710824,145527724
2019,131710828,145527730
2019,131710829,145527731
2019,131714354,145527736
2019,131714354,145527737
2019,131710834,145527738
2019,131710843,145527747
2019,131714367,145527752
2019,131714368,145527751
2019,131710846,145527756
2019,131710846,145527755
2019,131710848,145527758
2019,131710847,145527758
2019,131710854,145527765
2019,131710854,145527766
2019,131710862,145522886
2019,131710862,145527779
2019,131710870,145527786
2019,131714390,145522892
2019,131710876,145527796
2019,131710876,145527795
2019,131710883,145527805
2019,131710887,145527809
2019,131710895,145527820
2019,131710902,145522910
2019,131710909,145527839
2019,131714433,145522918
2019,131714433,145522919
2019,131710917,145527851
2019,131714442,145522926
2019,131710920,145527857
2019,131710923,145527859
2019,131710927,145527862
2019,131710927,145527861
2019,131710932,145527867
2019,131710942,145527879
2019,131710947,145527884
2019,131710951,145522958
2019,131714463,145522958
2019,131710952,145527887
2019,131714465,145522961
2019,131710961,145527900
2019,131710965,145527905
2019,131710966,145527906
2019,131710968,145527907
2019,131710971,145527912
2019,131710987,145527927
2019,131710987,145522997
2019,131710989,145527933
2019,131710994,145527937
2019,131710994,145523009
2019,131711001,145523015
2019,131711003,145527944
2019,131711005,145523022
2019,131711009,145523024
2019,131711009,145523025
2019,131714518,145523028
2019,131711015,145527962
2019,131711015,145527961
2019,131711019,145527965
2019,131711021,145527966
2019,131711022,145527966
2019,131711020,145527966
2019,131711023,145527968
2019,131711025,145527970
2019,131711034,145527981
2019,131711034,145527980
2019,131711041,145527989
2019,131711044,145527995
2019,131714564,145527998
2019,131714563,145527997
2019,131714565,145527996
2019,131711047,145528002
2019,131711049,145528003
2019,131711051,145523090
2019,131711056,145523093
2019,131714583,145528012
2019,131714588,145523102
2019,131711059,145523110
2019,131711062,145528017
2019,131714602,145523124
2019,131714604,145523128
2019,131714604,145523127
2019,131711064,145523133
2019,131714610,145523139
2019,131714610,145523138
2019,131711071,145523143
2019,131711071,145523144
2019,131711071,145523145
2019,131711073,145528027
2019,131711075,145523151
2019,131711078,145523155
2019,131711077,145523158
2019,131711077,145523157
2019,131711078,145523159
2019,131711080,145528038
2019,131711080,145528037
2019,131711085,145523173
2019,131711095,145528053
2019,131711101,145523202
2019,131711103,145523207
2019,131711103,145523208
2019,131714664,145523212
2019,131714666,145523213
2019,131714665,145523212
2019,131714680,145528072
2019,131711110,145528073
2019,131711118,145523247
2019,131711121,145528085
2019,131714700,145528084
2019,131711122,145523262
2019,131711122,145523261
2019,131711126,145528093
2019,131711127,145528093
2019,131711129,145528095
2019,131711130,145528097
2019,131711130,145528098
2019,131714721,145523284
2019,131711132,145523290
2019,131711136,145523297
2019,131711140,145528112
2019,131711144,145528114
2019,131711143,145528114
2019,131711145,145528114
2019,131711146,145528117
2019,131714756,145523322
2019,131711149,145523325
2019,131714765,145523332
2019,131714770,145523338
2019,131711153,145528128
2019,131711155,145528131
2019,131711157,145523357
2019,131711159,145523360
2019,131711162,145523364
2019,131711163,145528135
2019,131711165,145523373
2019,131711174,145528150
2019,131711176,145523387
2019,131711178,145528156
2019,131711179,145528157
2019,131711180,145528158
2019,131711180,145528159
2019,131714823,145528164
2019,131714823,145528165
2019,131711184,145523404
2019,131714828,145523407
2019,131711186,145528172
2019,131714833,145528175
2019,131711188,145528178
2019,131711188,145528177
2019,131711189,145528182
2019,131711193,145528190
