"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2019,122852459,25,17,26-SEP-19,135979071
2019,122852459,63,8,26-SEP-19,135979072
2019,122852459,6,20,26-SEP-19,135971651
2019,122856938,17,94,,135971654
2019,122852460,10,,,135979073
2019,122852459,17,94,26-SEP-19,135979070
2019,122856938,6,20,,135979078
2019,122852459,16,30,26-SEP-19,135979069
2019,122856938,25,17,,135971655
2019,122852462,8,30,,135979079
2019,122856942,26,200,,135971661
2019,122856942,17,300,,135971660
2019,122856942,63,961,,135971662
2019,122856944,10,,,135971664
2019,122856945,11,1,,135971666
2019,122856945,10,,,135971665
2019,122856949,63,30,,135979081
2019,122856950,36,1000,,135971670
2019,122856953,17,305,,135971673
2019,122856953,6,160,,135971672
2019,122856952,17,305,13-DEC-19,135979086
2019,122856957,63,50,,135971676
2019,122856958,38,1,,135971678
2019,122856959,22,0,,135971679
2019,122856960,20,470,,135971680
2019,122856961,63,250,,135971681
2019,122856963,6,4,,135971683
2019,122856963,17,5,,135971685
2019,122856963,8,22,,135971684
2019,122856969,17,200,,135971692
2019,122856969,63,115,,135971693
2019,122856969,51,0,,135979099
2019,122856969,56,10,,135979100
2019,122856969,25,50,,135979098
2019,122856969,20,240,,135979096
2019,122856970,20,4,,135971694
2019,122856971,63,800,,135971695
2019,122856972,63,800,31-AUG-19,135971696
2019,122856973,63,800,,135971697
2019,122852474,3,13000,,135979101
2019,122856975,63,366,,135971700
2019,122856975,7,89,,135971699
2019,122856978,2,11,,135971702
2019,122856977,2,11,31-AUG-19,135971701
2019,122856980,63,15,,135971704
2019,122855427,25,15,,135976912
2019,122855427,20,20,,135976911
2019,122855427,6,50,,135969705
2019,122855427,63,150,,135969708
2019,122855424,63,150,19-MAY-19,135969703
2019,122855424,6,50,19-MAY-19,135969702
2019,122855434,35,100,,135976923
2019,122850905,10,,,135969721
2019,122855499,29,200,,135977005
2019,122851004,6,9,,135977066
2019,122855539,63,38,19-JUL-19,135969847
2019,122855539,25,28,19-JUL-19,135969846
2019,122851004,25,28,,135977068
2019,122851004,23,50,,135977067
2019,122855539,23,50,19-JUL-19,135977061
